"","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"NeahBay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.052,0.035,0.0513333333333333,-0.074,-0.0596666666666667,-0.0246666666666667,0.0473333333333333,0.047,0.00533333333333333,-0.013,-0.0436666666666667,0.0173333333333333,-0.008,0.112,-0.0166666666666667,-0.0206666666666667,NA,-0.0403333333333333,0.02,0.011,-0.0363333333333333,-0.013,0.021,0.065,0.017,0.0566666666666667,0.017,-0.0173333333333333,0.071,-0.0866666666666667,-0.002,-0.0706666666666667,0.0313333333333333,-0.042,0.0893333333333333,-0.0906666666666667,0.015,0.0223333333333333,-0.0876666666666667,0.0236666666666667,-0.09,-0.011,-0.043,-0.011,-0.0443333333333333,0.002,0.00533333333333333,0.0236666666666667,0.0723333333333333,0.024,-0.025,-0.00466666666666667,-0.007,0.0266666666666667,0.00633333333333333,0.00933333333333334,-0.039,0.048,0.138,-0.000666666666666667,-0.0133333333333333,0.0156666666666667,0.0743333333333333,0.009,-0.0686666666666667,-0.00233333333333333,-0.063,-0.0796666666666667,0.022,-0.0126666666666667,0.0776666666666667,0.039,-0.038,-0.0783333333333333,-0.0416666666666667,0.036,0.0263333333333333,0.053,-0.0396666666666667,0.0493333333333333,-0.00633333333333333,-0.0363333333333333,0.0593333333333333,-0.00966666666666667,-0.0143333333333333,0.000333333333333334,-0.0506666666666667,0.052
"TokePoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.105,-0.011,-0.0833333333333333,-0.0155,-0.0506666666666667,0.0393333333333333,-0.0743333333333333,0.0103333333333333,0.0273333333333333,-0.003,0.0593333333333333,0.0263333333333333,-0.0386666666666667,-0.00666666666666666,-0.0223333333333333,0.0223333333333333,-0.00966666666666667,0.00233333333333333,-0.038,0.0233333333333333,0.176666666666667,0.024,0.015,0.0393333333333333,0.093,0.036,-0.056,0.0156666666666667,-0.04,-0.0603333333333333,0.04,0.0183333333333333,0.102666666666667,0.037,-0.0523333333333333,-0.058,-0.0153333333333333,0.0193333333333333,0.0136666666666667,0.0303333333333333,-0.059,0.038,-0.0656666666666667,-0.0726666666666667,0.058,-0.002,0.005,0.0113333333333333,-0.0616666666666667,0.0543333333333333
"Astoria",0.0746666666666667,-0.0393333333333333,0.0573333333333333,0.097,-0.0166666666666667,-0.00133333333333333,-0.00166666666666667,0.109,0.0623333333333333,0.0736666666666667,-0.00966666666666667,0.0993333333333333,0.0583333333333333,0.017,-0.042,-0.025,0.0196666666666667,0.0646666666666667,0.0766666666666667,-0.0726666666666667,-0.0613333333333333,NA,0.017,0.201666666666667,0.153666666666667,0.00933333333333333,0.021,0.00466666666666667,0.00866666666666667,0.0156666666666667,-0.0396666666666667,0.094,0.0666666666666667,0.0806666666666667,0.0156666666666667,0.0373333333333333,0.025,-0.019,0.039,-0.0646666666666667,-0.00433333333333333,-0.097,-0.0123333333333333,-0.116333333333333,0.091,-0.119666666666667,0.0653333333333333,0.0936666666666667,-0.176333333333333,0.0416666666666667,-0.086,-0.018,-0.172666666666667,-0.0393333333333333,-0.116333333333333,-0.05,-0.0263333333333333,0.0166666666666667,0.0603333333333333,0.0326666666666667,-0.0776666666666667,-0.045,-0.095,-0.0573333333333333,-0.0543333333333333,-0.023,-0.0493333333333333,-0.0366666666666667,0.09,-0.0656666666666667,-0.0343333333333333,0.0426666666666667,0.133,0.008,-0.05,-0.0276666666666667,-0.151666666666667,-0.0786666666666667,-0.019,-0.055,0.0156666666666667,0.041,-0.0826666666666667,-0.061,-0.0296666666666667,0.00833333333333333,0.0923333333333333,0.0926666666666667,-0.0446666666666667,0.055,-0.071,-0.0386666666666667,0.136,0.0296666666666667,-0.0136666666666667,-0.007,-0.0956666666666667,0.0596666666666667
"SouthBeachOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045,-0.0353333333333333,0.0826666666666667,-0.0643333333333333,0.0346666666666667,0.025,-0.0863333333333333,0.00966666666666667,-0.0743333333333333,-0.04,-0.061,-0.0113333333333333,-0.0316666666666667,0.015,-0.024,-0.00233333333333333,0.064,0.00766666666666667,-0.0286666666666667,-0.0203333333333333,-0.025,0.00533333333333333,-0.00566666666666667,-0.00466666666666667,-0.0683333333333333,0.0363333333333333,0.138333333333333,-0.004,0.00466666666666667,0.00966666666666667,0.0576666666666667,0.0326666666666667,-0.0576666666666667,0.0106666666666667,-0.0686666666666667,-0.087,0.025,0.00866666666666667,0.0716666666666667,0.0413333333333333,-0.06,-0.0626666666666667,-0.025,0.032,0.0273333333333333,0.0453333333333333,-0.0453333333333333,0.042,0.00833333333333333,-0.00666666666666667,0.071,0.00433333333333333,0.029,0.0386666666666667,-0.0243333333333333,0.0406666666666667
"Charleston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0546666666666667,0.0173333333333333,0.0336666666666667,-0.0663333333333333,0.004,-0.045,-0.007,-0.041,0.003,-0.0426666666666667,0.006,-0.0326666666666667,0.022,0.0403333333333333,0.01,-0.0256666666666667,-0.0173333333333333,-0.016,-0.00133333333333333,-0.0183333333333333,-0.0123333333333333,-0.071,0.059,0.123,-0.00333333333333333,0.0216666666666667,0.0126666666666667,0.0466666666666667,0.0436666666666667,-0.0596666666666667,0.00533333333333333,-0.06,-0.075,0.032,0.009,0.069,0.0513333333333333,-0.0453333333333333,-0.0616666666666667,-0.0253333333333333,0.0303333333333333,0.0196666666666667,0.045,-0.0443333333333333,0.0306666666666667,0.0123333333333333,-0.00566666666666667,0.0516666666666667,0.00133333333333333,0.0223333333333333,0.0136666666666667,-0.038,0.026
"PortOrford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00933333333333333,-0.0226666666666667,NA,NA,0.0153333333333333,0.0603333333333333,-0.048,-0.0533333333333333,-0.0423333333333333,-0.0243333333333333,-0.0153333333333333,-0.019,-0.0356666666666667,-0.0566666666666667,0.0686666666666667,0.106333333333333,-0.0786666666666667,-0.0613333333333333,-0.0263333333333333,0.0506666666666667,0.0463333333333333,-0.0676666666666667,NA,NA,-0.073,0.0186666666666667,0.00733333333333333,0.0473333333333333,0.0736666666666667,0.0633333333333333,-0.0663333333333333,-0.023,0.00166666666666667,0.004,0.0296666666666667,-0.0353333333333333,0.0436666666666667,0.03,0.016,0.0413333333333333,0.00933333333333333,0.0133333333333333,0.0116666666666667,-0.0343333333333333,-0.006
"CrescentCity",NA,NA,NA,NA,NA,NA,NA,NA,-0.034,0.00533333333333333,-0.0113333333333333,0.0413333333333333,0.00366666666666667,-0.00966666666666667,-0.0283333333333333,-0.00333333333333333,0.0776666666666667,0.0276666666666667,-0.000999999999999999,0.006,-0.0836666666666667,0.031,0.047,NA,NA,-0.0243333333333333,0.0533333333333333,0.0366666666666667,-0.00266666666666667,0.0163333333333333,-0.04,0.037,0.0216666666666667,0.0593333333333333,-0.0436666666666667,-0.000333333333333333,0.02,-0.00366666666666667,0.066,-0.0793333333333333,0.0136666666666667,-0.012,0.043,-0.0576666666666667,0.03,-0.0656666666666667,-0.0373333333333333,0.0396666666666667,-0.0653333333333333,-0.00666666666666667,-0.0646666666666667,-0.0293333333333333,-0.051,-0.00933333333333334,-0.0593333333333333,-0.015,-0.0506666666666667,0.03,0.085,-0.0266666666666667,-0.023,-0.0253333333333333,-0.0286666666666667,-0.0306666666666667,0.0196666666666667,0.0246666666666667,-0.0456666666666667,0.097,0.106333333333333,-0.001,0.0223333333333333,0.000666666666666667,0.0146666666666667,0.052,-0.0633333333333333,0.0146666666666667,-0.0586666666666667,-0.0616666666666667,0.0316666666666667,0.00333333333333333,0.051,0.0723333333333333,-0.0453333333333333,-0.0513333333333333,-0.00766666666666667,-0.0116666666666667,-0.006,0.004,-0.0536666666666667,0.024,0.0273333333333333,-0.00433333333333333,0.0273333333333333,0.00933333333333333,0.038,0.0213333333333333,-0.016,-0.0216666666666667
"NorthSpit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.047,-0.0363333333333333,-0.03,-0.0483333333333333,0.0343333333333333,0.067,-0.031,-0.026,-0.014,-0.00566666666666667,-0.0203333333333333,0.00733333333333333,-0.002,-0.0616666666666667,0.0666666666666667,0.079,-0.0183333333333333,0.00633333333333333,-0.0123333333333333,0.0256666666666667,0.0653333333333333,-0.0693333333333333,0.0156666666666667,-0.0463333333333333,-0.0586666666666667,0.025,-0.00133333333333333,0.0313333333333333,0.055,-0.063,-0.069,-0.025,-0.00333333333333333,0.000666666666666666,0.00666666666666667,-0.0426666666666667,0.044,0.0503333333333333,0.00633333333333333,0.0406666666666667,0.0183333333333333,0.0456666666666667,0.0253333333333333,-0.01,-0.019
"PointReyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.003,0.001,-0.0413333333333333,-0.021,-0.0283333333333333,-0.0263333333333333,-0.0293333333333333,0.057,0.121333333333333,-0.0236666666666667,-0.000333333333333332,-0.00233333333333333,0.026,-0.0326666666666667,-0.00166666666666667,0.00266666666666667,-0.0433333333333333,0.0803333333333333,0.0223333333333333,-0.033,-0.00766666666666667,-0.0246666666666667,0.000666666666666665,0.04,-0.0556666666666667,-0.011,-0.036,-0.038,-0.00833333333333333,-0.0133333333333333,0.012,0.069,-0.0536666666666667,-0.0456666666666667,-0.0263333333333333,-0.0376666666666667,0.00233333333333333,-0.004,-0.0166666666666667,0.0433333333333333,0.067,0.005,0.028,0.0133333333333333,0.0633333333333333,0.0133333333333333,-0.002,-0.045
"SanFrancisco",0.0263333333333333,0.008,-0.0236666666666667,-0.0103333333333333,-0.0296666666666667,0.003,0.007,0.0253333333333333,-0.0403333333333333,-0.00166666666666667,0.035,-0.005,-0.00666666666666667,0.0276666666666667,-0.0523333333333333,0.0146666666666667,0.0543333333333333,0.0163333333333333,0.006,-0.0123333333333333,-0.0403333333333333,-0.0273333333333333,-0.009,0.0203333333333333,0.0126666666666667,-0.015,0.0356666666666667,0.0203333333333333,-0.0393333333333333,0.00266666666666667,-0.029,0.0106666666666667,0.0413333333333333,0.0676666666666667,-0.00633333333333333,-0.0533333333333333,-0.0296666666666667,-0.043,0.0366666666666667,-0.056,0.003,0.024,0.0356666666666667,-0.019,0.00933333333333333,-0.051,-0.049,0.00266666666666667,-0.044,0.008,-0.024,-0.0346666666666667,-0.0916666666666667,-0.00533333333333333,-0.0366666666666667,-0.0183333333333333,-0.0393333333333333,0.0683333333333333,0.145333333333333,-0.0253333333333333,-0.0323333333333333,-0.00266666666666667,-0.00666666666666667,-0.0493333333333333,-0.017,0.000666666666666667,-0.0776666666666667,0.0536666666666667,0.0413333333333333,-0.0376666666666667,0.017,-0.0216666666666667,-0.0103333333333333,0.0653333333333333,-0.0466666666666667,-0.0226666666666667,-0.046,-0.059,-0.0216666666666667,-0.0356666666666667,0.000666666666666667,0.0993333333333333,-0.0776666666666667,-0.0706666666666667,-0.0306666666666667,-0.033,0.00566666666666667,-0.021,-0.0446666666666667,0.02,0.035,-0.00566666666666667,0.034,-0.003,0.0683333333333333,-0.00266666666666667,-0.014,-0.059
"Monterey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0163333333333333,-0.0153333333333333,-0.00133333333333333,-0.042,-0.0133333333333333,-0.0136666666666667,-0.00133333333333333,-0.0153333333333333,0.0406666666666667,0.109333333333333,0.00933333333333333,-0.00166666666666667,-2.88555890697965e-19,0.0286666666666667,-0.0193333333333333,0.012,0.0123333333333333,-0.0443333333333333,0.08,0.0216666666666667,-0.03,-0.0226666666666667,-0.028,0.00666666666666667,0.028,-0.0453333333333333,-0.013,-0.0243333333333333,-0.0433333333333333,-0.019,-0.022,0.00166666666666667,0.035,-0.052,-0.0386666666666667,-0.019,-0.031,-0.00866666666666667,-0.02,-0.024,0.0403333333333333,0.0533333333333333,0.00466666666666667,0.0216666666666667,0.00266666666666667,0.0533333333333333,0.017,0.0126666666666667,-0.03
"PortSanLuis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216666666666667,0.0206666666666667,-0.016,0.0103333333333333,-0.033,0.042,0.0306666666666667,-0.0246666666666667,0.027,-0.00933333333333333,0.013,0.061,0.0243333333333333,0.0243333333333333,NA,-0.012,0.00533333333333333,0.000333333333333335,-0.046,-0.0466666666666667,0.0326666666666667,-0.01,0.006,0.162666666666667,-0.0643333333333333,NA,0.019,-0.037,0.004,-0.0356666666666667,-0.0025,-0.048,-0.035,-0.0156666666666667,-0.0286666666666667,0.012,0.00566666666666667,0.0836666666666667,0.0163333333333333,-0.00433333333333333,-0.00933333333333333,0.0106666666666667,-0.00866666666666667,-0.00366666666666667,-0.0126666666666667,-0.053,0.0453333333333333,0.0196666666666667,-0.0213333333333333,-0.0346666666666667,-0.0326666666666667,0.022,-0.000666666666666667,-0.0353333333333333,-0.022,-0.0116666666666667,-0.0476666666666667,-0.0296666666666667,-0.019,-0.011,0.019,-0.0456666666666667,-0.0316666666666667,-0.0156666666666667,-0.03,-0.011,-0.0103333333333333,-0.00766666666666667,0.051,0.0573333333333333,0.003,0.03,0.014,0.0413333333333333,0.00833333333333333,0.0206666666666667,-0.009
"SantaMonica",NA,NA,NA,NA,NA,NA,NA,NA,-0.079,-0.005,-0.013,-0.0313333333333333,-0.00933333333333333,-0.000666666666666667,-0.016,-0.004,0.0486666666666667,0.0146666666666667,0.0303333333333333,-0.00166666666666667,-0.021,0.0163333333333333,0.0126666666666667,0.0186666666666667,0.031,0.00633333333333333,0.0603333333333333,0.0126666666666667,-0.0266666666666667,0.021,0.00166666666666667,0.00766666666666667,0.043,0.035,0.0566666666666667,-0.007,0.0636666666666667,-0.0146666666666667,-0.004,-0.0773333333333333,-0.00133333333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.00633333333333333,-0.037,0.0133333333333333,-0.0503333333333333,-0.0323333333333333,-0.004,0.0356666666666667,0.0603333333333333,0.0126666666666667,NA,-0.059,0.00133333333333333,-0.023,0.0156666666666667,-0.0393333333333333,-0.00666666666666667,-0.0606666666666667,-0.0786666666666667,0.0916666666666667,-0.000333333333333334,-0.0326666666666667,-0.0223333333333333,-0.00333333333333333,0.054,-0.005,-0.0143333333333333,-0.0153333333333333,-0.025,-0.0523333333333333,-0.0456666666666667,0.00333333333333333,-0.002,0.01,-0.05,-0.00433333333333333,-0.004,-0.0193333333333333,-0.0136666666666667,0.0106666666666667,0.003,0.0563333333333333,0.0593333333333333,0.000666666666666667,0.033,0,0.011,0.000666666666666667,0.0243333333333333,-0.008
"LosAngeles",0.003,0.005,-0.006,0.002,0.01,0.0283333333333333,0.0306666666666667,0.018,-0.0506666666666667,0.0123333333333333,-0.014,0.0103333333333333,0.0193333333333333,0.00366666666666667,0.000666666666666666,0.005,0.0363333333333333,0.0486666666666667,0.0483333333333333,0.00666666666666667,-0.00966666666666667,0.00933333333333333,0.0116666666666667,0.00166666666666667,-0.00266666666666667,-0.0146666666666667,0.019,-0.00733333333333333,-0.039,0.0246666666666667,-0.011,0.0146666666666667,0.0326666666666667,0.0336666666666667,0.03,-0.00666666666666667,-0.0443333333333333,-0.0206666666666667,-0.0326666666666667,-0.0586666666666667,-0.005,0.0153333333333333,-0.023,-0.0256666666666667,-0.000666666666666667,-0.0376666666666667,-0.0133333333333333,-0.0133333333333333,-0.0496666666666667,0.004,-0.0406666666666667,-0.004,-0.0446666666666667,-0.033,0.006,-0.00833333333333333,0.00866666666666667,-0.0166666666666667,0.069,0.0323333333333333,-0.0226666666666667,-0.0203333333333333,0.000666666666666666,-0.0546666666666667,-0.038,-0.0126666666666667,-0.0433333333333333,0.035,0.0433333333333333,-0.004,-0.027,-0.0156666666666667,0.0526666666666667,-0.00666666666666667,-0.0153333333333333,-0.013,-0.007,-0.0406666666666667,-0.0323333333333333,0.00533333333333333,-0.00233333333333333,0.00833333333333333,-0.041,0.00233333333333333,0,-0.007,0.008,0.0143333333333333,0.0113333333333333,0.068,0.0703333333333333,0.0163333333333333,0.032,0.0186666666666667,0.028,0.0193333333333333,0.045,0.0233333333333333
"LaJolla",-0.00633333333333333,0.039,-0.0166666666666667,0.00266666666666667,0.0426666666666667,0.00466666666666667,0.029,0.0186666666666667,-0.042,0.00666666666666667,-0.00833333333333333,-0.024,2.88697062855841e-19,-0.0193333333333333,0.00466666666666667,0.005,0.0143333333333333,0.007,-0.005,-0.0226666666666667,-0.0223333333333333,0.004,-0.00566666666666667,-0.00566666666666667,-0.00133333333333333,-0.00666666666666667,0.0156666666666667,-0.00566666666666667,-0.0323333333333333,NA,NA,-0.0223333333333333,0.0336666666666667,0.0173333333333333,0.0286666666666667,-0.00666666666666667,-0.0583333333333333,-0.037,0.00266666666666667,-0.0656666666666667,-0.00566666666666667,0.0463333333333333,0.0513333333333333,-0.00933333333333333,0.003,-0.01,-0.0213333333333333,0.0183333333333333,-0.0363333333333333,0.00933333333333333,-0.0413333333333333,0.00933333333333333,-0.0496666666666667,-0.0196666666666667,-0.0133333333333333,-2.89120579329468e-19,0.0306666666666667,-0.005,0.0843333333333333,0.044,-0.011,0.00133333333333333,0.0196666666666667,-0.013,0.0136666666666667,0.038,-0.0116666666666667,0.051,0.0426666666666667,-0.042,-0.0286666666666667,-0.00633333333333333,0.0676666666666667,0,-0.00833333333333333,0.00466666666666667,-0.0116666666666667,-0.0446666666666667,-0.0243333333333333,0.0206666666666667,0.0106666666666667,-0.0113333333333333,-0.0403333333333333,-0.0116666666666667,-0.0183333333333333,-0.035,0.0236666666666667,0.032,0.00533333333333333,0.0646666666666667,0.063,-0.0146666666666667,-0.0116666666666667,-0.0233333333333333,-0.00633333333333333,-0.0206666666666667,0.00433333333333333,-0.0173333333333333
"SanDiego",0.00166666666666667,NA,-0.009,-0.009,0.0406666666666667,0.004,0.0273333333333333,0.0216666666666667,-0.0416666666666667,0.00833333333333333,-2.89120579329468e-19,-0.0336666666666667,0.000333333333333334,-0.014,-0.012,-0.00966666666666667,0.032,0.0613333333333333,0.0226666666666667,-0.0236666666666667,-0.0286666666666667,-0.009,-0.0146666666666667,-0.00666666666666667,0.00166666666666667,-0.0186666666666667,0.008,-0.0136666666666667,-0.0203333333333333,0.017,-0.008,0.00233333333333333,0.0446666666666667,0.0376666666666667,0.041,-0.00333333333333333,-0.0216666666666667,NA,-0.007,-0.073,-0.014,0.021,-0.0393333333333333,-0.026,-0.00966666666666667,-0.0516666666666667,-0.034,0.0156666666666667,-0.044,0.0166666666666667,-0.0443333333333333,0.0126666666666667,-0.047,-0.0143333333333333,-0.0166666666666667,-0.00133333333333333,0.0306666666666667,-0.003,0.0903333333333333,0.0506666666666667,-0.00866666666666667,-0.00833333333333333,0.0143333333333333,-0.0333333333333333,-0.0193333333333333,0.0116666666666667,-0.0253333333333333,0.0436666666666667,0.0386666666666667,-0.0183333333333333,-0.0273333333333333,-0.0163333333333333,0.0463333333333333,-0.0126666666666667,-0.0206666666666667,-0.0273333333333333,-0.0306666666666667,-0.058,-0.041,0.001,-0.00933333333333333,0.009,-0.0393333333333333,-0.0136666666666667,-0.00933333333333333,-0.014,0.0106666666666667,0.014,0.00933333333333333,0.073,0.073,0.023,0.0506666666666667,0.0186666666666667,0.025,0.0136666666666667,0.0406666666666667,0.0176666666666667
