"year","DF1","DF2","DF3","DF4","DF5","lCI1","lCI2","lCI3","lCI4","lCI5","uCI1","uCI2","uCI3","uCI4","uCI5"
1925,0.557878658188337,0.0134796589205152,0.0416383894511451,0.111677374171328,0.0468308813156193,-0.464423759791887,-1.0080466880341,-1.54760426067943,-1.52184794284388,-1.49447699042319,1.57254301519556,1.13401423828993,1.50327836861656,1.58513383914878,1.48965870869592
1926,0.0531240359984027,0.135358477640381,-0.0528207772727405,0.0507009878033111,-0.00872959291637619,-0.983786548156709,-1.29484836838951,-2.13185399406977,-2.10594843997354,-2.0471090188842,1.11508059742166,1.34148778536889,2.01001544701564,2.0884501547812,2.12568093320372
1927,0.652099807182666,-0.190763421549729,-0.0579637123209162,-0.0769472112041351,-0.00905203220448348,-0.469543164473764,-1.41549265607202,-2.27032674323659,-2.16327710007212,-2.18330122651345,1.77957603018464,1.29449422251222,2.33936585197365,2.31493705220557,2.22518553887952
1928,0.933377073800629,-0.148118960788505,-0.03440806720243,-0.0689764651015233,-0.0220713225674546,-0.183517407655509,-1.54137603992044,-2.49491267022365,-2.45844660369169,-2.57535577464735,2.05197051894213,1.39136870325272,2.53157329232868,2.50141643723889,2.38769497495299
1929,0.0879936808598171,0.313267610709424,-0.137047599021924,-0.166737003856909,-0.144787458909157,-0.987339896633324,-1.68747490130762,-2.59986338575886,-2.65768839327499,-2.73211483788936,1.27338309036082,1.7183838621943,2.65199539698342,2.68971559631273,2.65066308791437
1930,0.000922040259532365,0.151035916512482,0.0762152912218774,0.0484586653355834,-0.111581027359568,-1.13033925220503,-1.64799127699583,-2.58538953294932,-2.9013418154698,-2.95609561281515,1.13093346727135,1.70311759386825,3.00881517515849,2.99837314653884,2.83537492169578
1931,0.137147652773337,0.321673466190833,0.0893153958963323,0.0587327040832361,-0.141391261205489,-0.989049978953239,-1.70652174407016,-2.76818844861484,-2.94801567315712,-3.06062632731782,1.27518704688388,1.70269538917977,3.10460641671019,3.12670792381954,2.96971271245974
1932,0.97074863481441,0.16866454710748,0.111991739350678,0.0536204066137783,-0.0753782201243071,-0.172588614825752,-1.61196436040308,-2.82199889602185,-3.08256475242051,-3.10899828438374,2.09747467899577,1.71666301926931,3.2423796253388,3.19105557298468,3.00512818191178
1933,0.463231341409052,-0.6454967637423,-0.0207044981041976,-0.163184630644615,0.0468887626670767,-0.45438997912032,-1.94231965329951,-2.9644761502793,-3.14699293365392,-3.20330274769375,1.42118226258359,1.86142258133383,3.22175367159402,3.11647538273226,3.12342655790847
1934,0.376293566287063,0.0348240144710416,0.174910680069918,0.0131123831164336,-0.104683679282328,-0.502873273339688,-1.76633585339944,-3.03993436069519,-3.10770723233797,-3.35334526342981,1.26246862948725,1.87395878283486,3.30866573854091,3.07284155385782,3.22386440148071
1935,-0.652048507770957,-0.0110408774901158,0.344542885729144,0.215587917774452,-0.0369392762941431,-1.06180404310289,-1.94997604835728,-3.17975266486894,-3.23589957387198,-3.45214785484758,-0.21617535555469,1.93365393764796,3.57583922437926,3.36497833678396,3.23515530426772
1936,0.926856348065504,-0.360604113674672,0.453238631242093,0.185688871799641,-0.0949600361273507,0.516071741483678,-2.60015820579041,-3.63547064225211,-3.58123993975158,-3.93987865102464,1.36677360975168,2.11400809141476,4.23113659000423,3.80988290072342,3.84021956263287
1937,0.890987560845273,-0.0827341294145989,0.401240507543858,0.0746279436796494,-0.219283043318476,0.446092663471179,-2.49907434761519,-3.49823595416858,-3.34286509726608,-3.86321058741859,1.32987932064316,2.07704212030958,4.15915222170827,3.67297978816492,3.63619683644646
1938,-0.864396708365635,-0.0501720876209925,0.575226513011473,0.338390830713637,-0.109370172413417,-1.3197111861162,-2.69727318662634,-3.73888351789484,-3.36598347714262,-4.11115033136927,-0.423744229349105,2.07092776151705,4.42532873125488,3.82402683371034,3.78418886869925
1939,-0.695511378702552,-0.128021926377711,0.398511320285456,0.0840815018224306,-0.190190640721248,-1.12036512382179,-2.37336399021823,-3.44684060394547,-3.12780240809181,-3.99000404465783,-0.284997392501031,1.84782806826262,4.08929479097508,3.6570131219416,3.64568177195995
1940,-0.272995434816171,-0.0418449106721984,0.43099710815389,0.235950772287863,-0.118186303314606,-0.691184333959835,-2.21811292567496,-3.28362537397822,-3.03950894654225,-3.84719828192658,0.12131081654077,1.79584241456987,3.92938129049201,3.49786664587713,3.36192290455393
1941,0.609384017589711,0.383365422617066,0.545631150575615,0.354338552246804,-0.139076824683658,0.175972058251928,-2.2455688839504,-3.40540173960275,-3.11301947498017,-3.80833168233425,1.05252734115884,1.89152957290276,4.0047832050695,3.55006653882845,3.37671127541225
1942,0.558126010493219,0.531625830997179,0.481903744376241,0.106591492281539,-0.324160410306566,0.113565292410885,-2.43324608056067,-3.61114638461009,-3.29728655821738,-4.09603068996826,1.00407462529805,2.16517210558661,4.21482734248176,3.82419528672696,3.7235038554418
1943,0.13899697730589,0.28858995458633,0.591554561058857,0.153284848837543,-0.330887738290179,-0.278426059169805,-2.93337783582622,-4.04414721257264,-3.67892965222639,-4.57734107045588,0.546230064757979,2.53143398322741,4.760986135656,4.0973782123251,4.10767195341722
1944,0.0476588411241004,-0.19289546498417,0.519805255422185,0.219822999083912,-0.192794711178358,-0.381779419584232,-2.67428191428653,-3.87816661555768,-3.39390742159878,-4.38362065832216,0.463476551959547,2.37042225203609,4.50341080987114,3.94609189950996,3.85705323461552
1945,-0.410745680817572,-0.3184748702591,0.351177738159844,0.0167357065527944,-0.234979924517293,-0.857994677824385,-2.40551418031793,-3.58045252062183,-3.14721219112598,-4.04031619194046,0.0144371015302755,2.19390381833604,4.26106639197107,3.77336417197121,3.66751238016324
1946,0.539490281976684,-0.11493830421033,0.498321738832105,0.174897185005295,-0.181116694916334,0.119767370783587,-2.77079279747501,-3.75951505934202,-3.33148599569877,-4.13122459173878,0.97848838640593,2.42281268993528,4.43277674376912,3.8356024558825,3.83485181070047
1947,0.254725696657502,-0.119474368779152,0.596793210876198,0.230643937032028,-0.10194832598921,-0.152824992187436,-2.99605649699846,-3.97522248971469,-3.57604456959479,-4.15431262411227,0.703153015881895,2.42167801730374,4.51321943331932,3.89608756226953,3.89027789559202
1948,1.99010008062095,-0.222866904320315,0.483736725823338,0.0467682600214608,-0.021829391337694,1.51291960795285,-2.62449140887704,-3.70049659157985,-3.47839928526609,-3.87008607536496,2.47924520260261,2.17185629131449,4.22478888240379,3.49542431304807,3.61535410214412
1949,0.066065588681546,-0.00103029126918361,0.498959188639355,0.0688764246273389,-0.0332590655645182,-0.377007145599025,-2.4145402612963,-3.72683718256003,-3.47372294598353,-3.77375752163104,0.549890630667554,2.18803697609254,4.12006113306801,3.40260830803919,3.61261139081064
1950,-0.138689941745176,-0.189717795723986,0.307484282281476,-0.0420939113984898,-0.00975935977229614,-0.557520372243217,-1.86100659684257,-3.22471416221901,-3.23952512130698,-3.37640850534169,0.286407820077632,1.93833419048359,3.66610514533266,3.07806998343804,3.27867804662315
1951,0.100512791122068,0.232951918865795,0.426064013188833,0.280831309345345,0.0116761065679951,-0.792276008883236,-1.88512195761513,-3.03994136024104,-3.17713550057782,-3.32275545979727,0.945678063085809,1.96631494720606,3.53475945839625,3.17432655781889,3.3502756788613
1952,-0.430419576392467,-0.0162262789671706,0.389958822088044,0.280842856264179,0.0907723003624515,-0.856306938569199,-1.84562508655999,-2.79315680086683,-2.94464895705598,-3.18429795795683,0.00896463730475851,1.86683643564373,3.36892237294292,2.95169364401495,3.14931844621364
1953,0.521841290074033,-0.383766110494161,0.0807398346408301,-0.112888394146281,0.0834517129968627,0.0883535521096405,-1.53979988611467,-2.56726748368562,-2.80530515008721,-2.81555947408414,0.946489333778588,1.58287810585523,3.10488531225838,2.71254230683226,2.95482869268317
1954,0.12332477023429,0.215804627165788,0.227147183034232,0.0368226303238946,-0.0890559091898211,-0.278616995928738,-1.60234173919647,-2.53205788933748,-2.66330723761586,-2.89057148483311,0.527568182743169,1.55570884170758,3.15590003508029,2.74663216583567,2.96205070868973
1955,-0.46385898545419,-0.100242101944712,0.176352525489917,-0.0706313111364143,-0.0776740876535884,-0.879934831822439,-1.63062174466163,-2.55745004543385,-2.74269300795934,-2.90779063972453,-0.0566907403556148,1.51905384328145,3.02757986348306,2.75289655417514,2.93755536056011
1956,-0.037916394376238,0.0902946919435854,0.377056973426505,0.149966611922242,-0.0463741547483442,-0.450141041060742,-1.94484695568586,-2.84553921646041,-2.87996635200901,-3.09590589808119,0.411698685403084,1.73456345054811,3.30793634299975,2.749597619536,2.97184682008523
1957,0.0635492571497047,0.551909656142539,0.273153933493531,0.155600972917318,-0.120253456924198,-0.366188469449481,-1.5276846458722,-2.55348088923007,-2.62077848602548,-2.97839924945587,0.470039300950545,1.6946656652942,3.02541243448264,2.5982148755112,2.79101538109592
1958,0.729312118697374,0.463607308601761,0.209451582399103,0.156497847757178,-0.0518741940050424,0.292901114374397,-1.39566848399367,-2.4398753290761,-2.54759724457224,-2.85429052814215,1.17475051493075,1.54657280152957,2.89948713160646,2.68485240581639,2.86321459047811
1959,-0.0292180148098325,0.460166550274079,-0.0408013054993567,-0.165355172048944,-0.182103182842083,-0.453844658914131,-1.68697387997132,-2.6610274202044,-2.85194190472426,-3.01983113716638,0.393087245717142,1.98150804577717,2.96763777888235,3.00131718092884,2.95066713608377
1960,0.943724255263421,-0.148694797510894,-0.13665211004473,-0.279772868880628,-0.0510826198107272,0.512226517795275,-1.73029151596649,-3.00688376891481,-3.19327358631054,-3.31618673725417,1.38773451504853,2.02856158592252,3.06928473693605,3.25154496121641,3.22480141285946
1961,0.508597496304749,-0.346823307969185,-0.0490569726133196,-0.0735222852939886,0.142484256790024,0.059517398728317,-1.84228496861237,-3.17864610424125,-3.43812808643832,-3.61049950757159,1.00367419242462,2.04643191554873,3.28287266191726,3.61071561594218,3.47217771784346
1962,-0.0246919695967506,-0.306103741284889,-0.0784516872763456,-0.012499036542668,0.0834287532060088,-0.450589785782454,-1.63616242045893,-2.82859874568855,-2.87189612201287,-3.33852099391347,0.44680593924902,1.78046112152435,2.88961533477396,3.16761632453711,2.98461457733621
1963,1.08312028802292,-0.183926019023538,-0.154937708048653,0.177178929891902,0.187781588738827,0.663057122114038,-1.6045373743987,-3.05603375659395,-2.59015055397896,-3.12044877454984,1.51675143120231,1.76291713421583,2.87298710930543,2.84380043446189,2.99913222017256
1964,-0.881577670336451,-0.775632566304663,-0.197141646113566,0.0398095924023098,0.12751139556588,-1.3565177998347,-2.26552295175978,-2.84756594278548,-2.27074731319371,-2.92592813597233,-0.419255396839711,2.01046350024919,2.66523812888351,2.80681942226966,2.74257174174418
1965,-0.0522978081468993,-0.105887114133016,-0.117701847125156,0.27948919477395,0.011162130808737,-0.448430072454155,-1.48030574169026,-2.96135846664033,-2.16366757006881,-3.04569773665615,0.335467165139561,1.43310620548815,2.72824071286013,2.90609884645005,2.79792535394239
1966,-1.34805253184157,0.424625716834752,-0.141722623269059,0.553529652985257,-0.1038473248013,-1.80514681029319,-2.11278217559778,-3.50416896462445,-2.77243441387251,-3.66339764783155,-0.921679075123461,2.06783708271286,3.20197521620941,3.51738977165455,3.33052615317779
1967,0.552179338486569,-0.240635117922619,-0.249189012976412,0.722824318764718,0.0392035044772122,0.233406219032245,-2.67460349940734,-4.08902155983871,-3.38566336761605,-4.29442896604425,0.869953640557949,2.55011497344072,3.91119848014765,4.24333703010347,4.00145465278087
1968,-0.635828097393163,-0.189933546734358,-0.375614179957056,0.519371016438748,-0.128318409741728,-0.966812311256692,-2.7688160160874,-4.35009361353933,-3.75013733486754,-4.58770654219851,-0.32482281698111,2.86801355927738,4.10121600940448,4.48826704698823,4.32206822822976
1969,1.19251010414637,0.00779200285192272,-0.264293165192985,0.629549419618895,-0.184009478432601,0.790770665919312,-2.8438126746508,-4.5127543938853,-3.83135299310477,-4.8577882505888,1.58715769361121,3.00291249047939,4.33309058272006,4.82070800405069,4.44671791492983
1970,-0.946932633866273,-0.484855142411137,-0.164838692475469,0.400689817496965,-0.126603812886339,-1.28929407846698,-2.4353218609697,-3.57350839656719,-3.05467492789944,-4.03764318765953,-0.610485064000515,2.25644898906709,3.55634361959672,3.90372207192496,3.6022923730346
1971,0.70237442509071,-0.424995706172223,-0.137581360142287,0.25260290843337,-0.2168174427284,0.38725579875053,-2.06683761694253,-3.10439419298055,-2.81645712182931,-3.65952835197902,1.04774266131144,2.04737213469474,3.23444428664096,3.61270939883151,3.2289940593229
1972,0.32800798038339,0.0904083085659397,-0.138435889833773,0.225340489672534,-0.00558783168497773,0.0653117636706765,-1.21256107021153,-2.84715499741455,-2.21839595616969,-2.99587058332525,0.599713470737444,1.47875298586811,2.59033861082529,2.68846148205849,2.66094903165998
1973,-1.21080498181466,-0.404650752554457,-0.268966656662683,0.0665029567734476,0.127862254257036,-1.5205427664684,-1.56657316063646,-2.85318323812219,-2.17366073994161,-2.70935983715071,-0.906212877028469,1.59426083976608,2.44685772340213,2.48351548174358,2.66206951352089
1974,0.0309399601502967,0.197869306312107,-0.204838316066209,0.0624497667048835,0.0187085161946452,-0.151738792452844,-1.04229752836443,-2.57712074045523,-2.04728003556359,-2.49606112034264,0.212173878125633,1.42773373100064,2.24221473667799,2.10058509426764,2.41376227863541
1975,-1.07144542697905,-0.387997018183333,-0.136070891129508,0.0242364025857134,0.220985808968853,-1.3635077669512,-1.56250382735843,-2.36736998604936,-1.96058316388261,-2.23401246856524,-0.80589985001116,1.41577676919324,2.03653329843575,1.93804872867759,2.38765874068615
1976,-0.444282783335956,0.112104999768681,-0.326317617091352,-0.279228543122582,0.141488896810886,-0.660046879823827,-1.49248366096643,-2.97988130892869,-2.6320731160729,-2.59749329095141,-0.229946074178491,1.75271262958554,2.60770102062422,2.33081061738673,2.77592729591287
1977,-0.523598250618748,-0.532931512327671,-0.419395169079863,-0.250493072451157,0.220478855341109,-0.770902448360737,-1.65563358857333,-3.08662292703356,-2.39954062316648,-2.58335501748878,-0.266395125938101,1.59743476426908,2.56213835650908,2.35604919933787,2.7188389527652
1978,0.048687591819819,-0.265373522606415,-0.423008175409176,-0.0687577655822044,0.124140875479536,-0.151001272567169,-1.43095682968184,-3.25129218377948,-2.59374490524146,-2.76656404664973,0.267102278463431,1.68807249372029,2.8298091297643,2.47211584954987,2.75687937463568
1979,-0.608008703141585,-0.0836309390957839,-0.224661855931231,0.158789632283116,-0.120163296055447,-0.821470073986629,-1.45345425995599,-2.52972879301438,-1.99562286132389,-2.41222060297334,-0.410404863813939,1.32718468249831,2.2301548417464,2.491086349019,2.26529598537117
1980,0.172226171086514,-0.0208969024600573,-0.386981996434174,0.153569939515934,-0.0999392833012433,-0.0306863996565604,-1.77062842860575,-3.1262763508947,-2.48074399559314,-3.0462780959702,0.379764274373929,1.78135124688621,2.74056559309973,2.83829969163634,2.89775192200495
1981,-0.246881414318597,0.275728783915047,-0.581193677557081,-0.312741978102948,-0.0782687876392925,-0.466496859714211,-1.52694072951423,-3.61301856042111,-2.96852451307973,-3.21921928219792,-0.0293276546772668,2.09227428216281,3.16364635416393,2.90609647560841,3.33215784185327
1982,-0.106499043791388,0.14351168735145,-0.389658619557208,0.135530987173236,0.325034246466234,-0.338519218239741,-1.92238802219675,-3.97018491276414,-3.45354228541204,-3.54041402899241,0.117957916675649,2.62682354582297,3.43857691274019,3.10160705777393,3.76893583333515
1983,0.131235091517337,1.24732905205468,-0.324584474057257,0.384823190443628,0.039683140761589,-0.306304642810548,-2.5319486756417,-4.2348213974277,-3.41486848030675,-3.74926781961143,0.535948627216669,2.85792067533146,3.61776288448744,3.36746567577831,3.86356439664127
1984,0.0676615926642392,0.477569507123183,-0.622870391690259,-0.099313834081638,-0.192209311660208,-0.192666423455691,-2.06131646303004,-4.06105277368834,-3.30598763546226,-3.7103401352052,0.339408604693831,2.3877783206181,3.49630485718178,3.27321562809944,3.7623648626747
1985,-0.461837183869326,-0.0429867593802283,-0.497656611022933,0.0639335937210282,0.0750590885696515,-0.656543871526098,-1.81361720273054,-3.95801815285787,-3.15733664442716,-3.54611233068744,-0.284773865556807,2.2946183769633,3.31926003956128,3.13722048158051,3.50127801888031
1986,-0.251559168114357,-0.052670678054446,-0.572882886190688,0.0426251525480309,0.111349818991435,-0.433543683091475,-1.98603754633782,-4.29919709105725,-3.35932115072104,-3.77673205605042,-0.0814130059134167,2.6487590252674,3.68676540349364,3.35384698365086,3.8699806371482
1987,-0.565217815314138,0.289671347637794,-0.619142498121303,0.158232835523426,0.0878441589151126,-0.785075603161357,-2.2187448046403,-4.79347216495183,-3.91347993640502,-4.27762552874317,-0.373968521665752,3.06040497852069,4.15059149095544,3.93096086205089,4.39555231735825
1988,0.387741828331636,-0.41867250364856,-0.787342774888704,0.0666681431446408,0.164735454470323,0.14680108574787,-2.61493143312714,-5.07461388277141,-4.28697904394563,-4.62516493577163,0.638605922640641,3.46250693741263,4.4752081935369,4.38841574275778,4.71512077805297
1989,-0.0766758270248491,-0.163667916602981,-0.673423709939899,0.276305415638362,0.155371840233249,-0.284086255744991,-2.616391679072,-4.99593186643744,-4.03477073231355,-4.52875144764647,0.129605041943861,3.136593687784,4.2930649975724,4.28998075430686,4.55970217173119
1990,-0.0832418468282342,0.0799636426897644,-0.593287694177813,0.0539952068480665,0.104090732326542,-0.265237228985956,-2.24919302490535,-4.41071895903433,-3.59654179629067,-3.88704206030717,0.0980182382004548,2.75367736849404,3.82870765594942,3.45068271670701,3.97883649086032
1991,-0.65330655525584,-0.365494030601813,-0.576995339420553,-0.366714795154558,0.179826182891579,-0.907536731479118,-1.69351882174802,-3.6777568326544,-3.06166109375737,-3.18164608164803,-0.403777529316698,2.30317318094224,3.23536568855894,2.91122908584118,3.30059137997405
1992,0.155470864455522,0.666038151765298,-0.119751807350553,0.269410212519787,0.128926540636396,-0.146333706112486,-1.74426773397307,-2.78522870152793,-2.22266331602701,-2.26234981629952,0.449687566811581,1.93499825907636,2.32111546458749,2.0835724238662,2.37537687257493
1993,2.18109290979423,0.228137801128011,0.0224423881519244,-0.0204154721212983,-0.0575629138381628,1.81466379531209,-1.10555792788165,-1.6726931205245,-1.63337370993884,-1.66707788998077,2.57254566801123,1.0794957606744,1.62374847616667,1.35221421322318,1.7034054668877
1994,0.204512817493867,-0.308030498225704,0.01028277205468,-0.182137642763476,-0.0138206543102039,0.0154842758431498,-1.01731157480362,-1.54491538712781,-1.58372769535439,-1.67607338117892,0.406891393048397,0.787194995101771,1.7460795813379,1.39825855792084,1.6333702696706
1995,0.294538559604914,-0.443346343271659,0.154814155484687,-0.0777256342530216,0.104744996337396,0.0748247703730102,-1.53248952646696,-1.75858920409412,-1.90377014221227,-1.99166329093728,0.520985576275763,1.27687544403556,2.02759234498187,1.61744273750224,1.89398746616717
1996,0.460992921006598,-0.294310931824804,0.0379577536919367,-0.275864925806802,0.0487315654712966,0.273760692190829,-1.03625837419237,-1.58515787960154,-1.79554649075824,-1.67295354957327,0.663362505620591,0.851340297104757,1.75264211986953,1.36743946707669,1.72197717556808
1997,0.909084850966132,0.438171993305827,0.0938424560603146,-0.277057626120718,-0.174152524657104,0.648247333773522,-1.53684134064301,-1.61433759620794,-1.83637267706087,-1.78317979833405,1.19169088327196,1.75061362681388,1.85100140722396,1.5678922961608,1.75210095893814
1998,0.368014531436056,-0.0898764378946122,0.301325691331366,0.296235342485364,0.118019898556507,0.161050130942101,-1.36242948711033,-1.50016851658085,-1.57842753473813,-1.60531358871181,0.585550628947716,1.43021264787215,1.87230653265435,1.63996461549667,1.58130290769946
1999,-0.72698231086649,-0.29954792289637,8.71134162318613e-05,-0.179736591639957,-0.108669601170369,-0.959807056907164,-1.26105769587974,-1.38910304001772,-1.36896057866203,-1.51577454101983,-0.504557552924747,1.13513062738188,1.65850146415243,1.39102945034138,1.38534815102003
2000,0.249186275090431,-0.301708661045438,0.0788346935624962,0.0850939328928589,0.0229486568211037,0.0697373920256546,-1.12667799763029,-1.38307202980029,-1.21962513783671,-1.55688015141215,0.435608791605343,0.946706734295146,1.59191903602545,1.44443393752389,1.463354331731
2001,-0.924792165820615,-0.234571422871466,-0.103659227968448,-0.0884056989241421,0.000468519065837479,-1.16163658011525,-0.904251128088335,-1.55985425786606,-1.25795757161686,-1.39039736604908,-0.698655638970996,0.804388727968168,1.31834035341946,1.25173438486509,1.37363724085243
2002,-1.01640946089091,-0.577367353520132,-0.0900991205650151,-0.193376554132905,0.171994322578857,-1.30811406739297,-1.69374380407704,-1.53973818067145,-1.62076057635264,-1.55659854779231,-0.733358549368396,1.42062039806145,1.54285200541819,1.45233337233495,1.64624791549596
2003,0.689955231096822,-0.54342691130745,0.107568331392082,-0.0300818391790013,0.196048086436752,0.475696323443607,-1.75939162709641,-1.56479079698714,-1.65211657018441,-1.62105643654995,0.934439609521421,1.48149754322825,1.72544376047676,1.50742516367441,1.74649753220693
2004,0.231785996387332,-0.13920609567102,0.182901787878925,-0.18890142510325,-0.0203796409750595,0.0269557113152711,-1.57085461305943,-1.82831931804967,-1.87323266782921,-1.9769664415906,0.432931128344729,0.959981263264812,2.17509547628107,1.76955401551041,1.9924223815639
2005,1.29208970049323,-0.164720569363452,0.0918080433166357,-0.121442419401142,0.142688322149448,1.05708616603491,-1.04111871768811,-1.56589159721358,-1.80363162517623,-1.60848314125978,1.54557988459732,0.879136654961286,1.71280704612654,1.35887996098036,1.80578376787678
2006,0.500845832642614,0.120408122757693,0.296674076352007,0.029711020577242,0.279621937543393,0.272646808263533,-1.66845910651057,-1.97247740969377,-2.2482423382195,-2.11190691267392,0.728914347485792,1.77199517506733,2.26260003861352,1.88577882930075,2.39711903952955
2007,-0.439084925521252,-0.519255062772475,-0.00345797639544426,-0.454401822549082,0.17684233053132,-0.697254534721444,-1.42459822078802,-1.83591180241718,-2.22888693088154,-1.8895863897168,-0.168851894030421,1.36038592591999,2.08605894840647,1.62331883896004,2.22968290591826
2008,-0.877617642098984,-0.169937799203201,0.12876822700217,-0.278176216180827,-0.0940741375223598,-1.12191593929878,-1.40146342589361,-1.73973932915771,-1.7970915840408,-1.91120996752861,-0.658142836336196,1.14737021756505,2.19670362929642,1.64083558945953,1.89818444128327
2009,-0.346116057496857,-0.141268837248833,0.206569632187669,-0.07632467450975,-0.0775704478200057,-0.53010291659963,-1.31884893295483,-1.87657438499543,-1.77007360800646,-2.08347023424713,-0.172308788461564,0.922167292844098,2.32139308861263,1.78109524232961,1.94835712495391
2010,0.760122794220316,-0.29184369691138,0.167162927889375,-0.17380646764384,-0.0762433323557898,0.559315166555848,-1.19094048779201,-1.9565612224156,-1.81332496510959,-2.12243375624138,0.982838281516146,1.0533883839658,2.37937105926153,1.80921757995749,2.00803423618206
2011,0.443559788036788,0.0644377280863943,0.2300748667233,-0.189422632271707,-0.0478576252356041,0.264342081981592,-1.22152619780278,-2.17621992161398,-2.16174325804309,-2.26259907903793,0.624913206321689,1.30697208285694,2.55767487127093,1.90436812110277,2.29313033490254
2012,0.85889048426579,0.052310502980777,0.272691592051674,-0.379948744300041,-0.0507840669378175,0.640711608294319,-1.74054701121039,-2.61218874901217,-2.71126102402774,-2.80890730175731,1.10210501089047,1.7636448185361,3.05984038907313,2.40973150267525,2.83822887205926
2013,-0.686583359488004,0.136266913981202,0.247546949760052,-0.38105439135246,-0.0912499864478886,-0.898288999454703,-1.4808695195462,-2.5411986496927,-2.6338705431907,-2.71111147651141,-0.486858456778617,1.69861029762012,3.03855016492957,2.3186311723029,2.68515513591299
2014,0.231902247127105,0.863310719871324,0.386607021544329,-0.093018994441459,-0.232713001685325,-0.0816160218808532,-2.24819563385419,-2.84843377376298,-2.66333807043291,-2.91385301812896,0.537433376949735,2.52518565186583,3.21952144731526,2.54444048557515,2.96756808602283
2015,-0.572701836566654,0.938658859422386,0.619336853555392,0.145775551656255,-0.247956835122245,-0.936671942761512,-2.31987773491687,-3.57668576541707,-3.09559246657169,-3.80551244110169,-0.235225167036891,2.58774474441503,4.00866922898785,3.17605347448593,3.4792352706019
2016,-0.414909921467537,0.209196632437607,0.577558009524449,0.0994711443248548,-0.204414819832551,-0.635569222790002,-2.34693717061948,-3.740240653746,-3.22512884324013,-3.9608101061444,-0.217963602424097,1.99955543264223,4.20820512366051,3.51799460736984,3.72440139476907
2017,0.814860597056474,0.413385624965372,0.495215644748999,0.0434191444908054,-0.203294563806748,0.566864802053542,-1.92459739664074,-3.39359239554363,-2.90656797855492,-3.53622781765032,1.06746057140936,1.74927173034127,3.79866870772155,3.03240931813754,3.35267707842979
2018,-0.0938548645941293,0.149621602067061,0.476506275346189,0.0309588423601716,-0.124700104858563,-0.280501288841269,-1.9418688474832,-3.18290274042014,-2.79378994474749,-3.40596998439297,0.0873069571082973,1.62065676032055,3.63841824883767,2.90995455767648,3.19843751776613
2019,-0.187124207651681,0.381670806205238,0.549214154272326,0.523957704663871,-0.128615473826894,-0.450720495213891,-1.96131065508023,-2.82768153657999,-2.51933734176169,-3.17081058925788,0.0627649503101401,1.65734885031743,3.43612086250627,2.84431697628257,2.94527097863147
2020,0.197922313066093,0.139546099297212,0.434560781091902,0.38698568007045,-0.241740211354242,-0.0135086275601418,-2.16934112594989,-3.06167064863861,-2.75628650326102,-3.31260635521228,0.396491565300856,1.80400759680472,3.53638041865775,3.15277666682461,3.14742917226934
2021,-0.842218625361821,0.468795268169433,0.375355778322431,0.18914565357941,-0.371269250424786,-1.11216734388272,-1.96868199225376,-3.05028459374093,-2.60676082008762,-3.2696126839365,-0.597906362477173,1.8922006704316,3.47876181505768,2.93335660565682,3.11742971075398
2022,0.804322883428736,0.0466482923026169,0.133325168733683,-0.225401106770866,-0.29588297122303,0.558071384331975,-1.69487743605336,-2.66760647449422,-2.24590574663191,-2.82530757155239,1.06918254622871,1.55339184178928,3.1428600922236,2.47688521886618,2.65609563424466
